,%Down,%Up,Change
COTY,0.083,0.25,1.5714
AYI,0.417,0.417,1.0484
ARRS,0.0,0.0,1.0
G,0.083,0.083,1.0645
WPX,0.25,0.167,1.0
BHF,0.083,0.333,1.1622
NATI,0.0,0.25,1.0455
HRB,0.083,0.25,1.087
AIZ,0.167,0.083,1.0103
HPP,0.0,0.167,1.0312
BWXT,0.0,0.333,1.1042
THG,0.25,0.25,1.0351
KDP,0.167,0.083,1.0
CHE,0.167,0.667,1.0554
FHN,0.0,0.0,1.0714
ALKS,0.417,0.25,1.0
WBS,0.0,0.167,1.0182
PACW,0.0,0.167,1.0513
SLM,0.0,0.083,1.1
NFG,0.0,0.167,1.0345
MUR,0.083,0.167,1.0741
EQT,0.167,0.167,1.0
UTHR,0.25,0.417,1.0172
CASY,0.333,0.333,1.0152
GWR,0.25,0.5,1.0
ASH,0.167,0.25,1.04
PII,0.417,0.417,1.0116
AVT,0.0,0.333,1.0732
PODD,0.167,0.417,1.0741
OLED,0.0,0.667,1.3182
NWSA,0.0,0.0,1.0
ITT,0.083,0.417,1.0943
MAT,0.083,0.417,1.1667
PB,0.0,0.25,1.0278
CACC,0.333,0.583,1.0426
BMS,0.0,0.167,1.0816
PE,0.25,0.25,1.0556
EV,0.083,0.417,1.0513
AXS,0.083,0.167,1.0182
ACM,0.083,0.25,1.0333
JBL,0.0,0.167,1.1154
WAL,0.167,0.333,1.0455
NUAN,0.0,0.0,1.0
HIW,0.083,0.167,1.0222
MKSI,0.333,0.333,1.0244
KEX,0.167,0.5,1.0541
STL,0.0,0.083,1.0526
LSTR,0.167,0.417,1.0577
WYND,0.083,0.333,1.093
GT,0.083,0.083,0.9048
WSO,0.25,0.417,0.973
LFUS,0.083,0.583,1.038
WSM,0.167,0.25,1.0
SKX,0.167,0.083,1.2222
OLN,0.25,0.167,1.0
DISCA,0.083,0.083,1.0
PEN,0.25,0.333,0.9799
HPT,0.167,0.0,1.0
HHC,0.083,0.5,1.0455
COMM,0.083,0.167,1.0952
PNFP,0.083,0.417,1.0926
